"link","fecha"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-octubre-2024 ","Miércoles, 6 de noviembre de 2024"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-septiembre-2024 ","Jueves, 3 de octubre de 2024"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-julio-2024 ","Lunes, 5 de agosto de 2024"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-junio-2024  ","Jueves, 4 de julio de 2024"
"https://www.banrep.gov.co/es/documento-trabajo-revisado-junta-mayo-2024 ","Jueves, 6 de junio de 2024"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-abril-2024 ","Lunes, 6 de mayo de 2024"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-marzo-2024 ","Lunes, 1 de abril de 2024"
"https://www.banrep.gov.co/es/documento-trabajo-revisado-junta-febrero-2024 ","Martes, 5 de marzo de 2024"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-enero-2024 ","Lunes, 5 de febrero de 2024"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-19-12-2023 ","Viernes, 22 de diciembre de 2023"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-31-10-2023 ","Viernes, 3 de noviembre de 2023"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-29-09-2023 ","Miércoles, 4 de octubre de 2023"
"https://www.banrep.gov.co/es/documento-trabajo-revisado-junta-agosto-2023 ","Jueves, 31 de agosto de 2023"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-31-07-2023 ","Jueves, 3 de agosto de 2023"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-30-06-2023 ","Jueves, 6 de julio de 2023"
"https://www.banrep.gov.co/es/documento-trabajo-revisado-junta-mayo-2023 ","Martes, 30 de mayo de 2023"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-28-04-2023 ","Miércoles, 3 de mayo de 2023"
"https://www.banrep.gov.co/es/noticias/minutas-banrep-30-03-2023 ","Lunes, 3 de abril de 2023"
"https://www.banrep.gov.co/es/documento-trabajo-revisado-reunion-junta-directiva-28-febrero-2023 ","Sábado, 4 de marzo de 2023"
"https://www.banrep.gov.co/es/minutas-reunion-junta-directiva-banco-republica-27-enero-2023","Martes, 31 de enero de 2023"
"https://www.banrep.gov.co/es/minutas-reunion-junta-directiva-banco-republica-16-diciembre-2022 ","Martes, 20 de diciembre de 2022"
"https://www.banrep.gov.co/es/documento-trabajo-revisado-reunion-junta-directiva-25-noviembre-2022 ","Martes, 29 de noviembre de 2022"
"https://www.banrep.gov.co/es/minutas-reunion-junta-directiva-banco-republica-28-octubre-2022 ","Martes, 1 de noviembre de 2022"
"https://www.banrep.gov.co/es/minutas-reunion-junta-directiva-banco-republica-29-septiembre-2022 ","Lunes, 3 de octubre de 2022"
"https://www.banrep.gov.co/es/documento-trabajo-revisado-reunion-junta-directiva-26-agosto-2022 ","Martes, 30 de agosto de 2022"
"https://www.banrep.gov.co/es/minutas-reunion-junta-directiva-banco-republica-29-julio-2022 ","Martes, 2 de agosto de 2022"
"https://www.banrep.gov.co/es/minutas-reunion-junta-directiva-banco-republica-30-junio-2022 ","Martes, 5 de julio de 2022"
"https://www.banrep.gov.co/es/documento-trabajo-revisado-reunion-junta-directiva-27-mayo-2022 ","Miércoles, 1 de junio de 2022"
"https://www.banrep.gov.co/es/minutas-reunion-junta-directiva-banco-republica-29-abril-2022","Martes, 3 de mayo de 2022"
"https://www.banrep.gov.co/es/minutas-reunion-junta-directiva-del-banco-republica-del-31-marzo-2022 ","Lunes, 4 de abril de 2022"
"https://www.banrep.gov.co/es/documento-trabajo-revisado-reunion-junta-directiva-del-25-febrero-2022 ","Miércoles, 2 de marzo de 2022"
"https://www.banrep.gov.co/es/minutas-reunion-junta-directiva-del-banco-republica-del-28-enero-2022 ","Martes, 1 de febrero de 2022"
